,name,cat,food_cat,food_rank,service_rank,price_rank,review_num,ranking_pos,ad_cat,pri_rate,address
811,Oppadak Myeongdong,restaurant,Korean,35,30,35,25,1381,Myeongdong / Namdaemun,3.5,"21, Myeongdong 7-gil, Jung-gu, Seoul 04534 South Korea"
812,Isaac Toast Myeongdong Cathedral,restaurant,Korean,40,40,40,19,1383,Myeongdong / Namdaemun,4.0,"17-1, Myeongdong 10-gil, Jung-gu, Seoul 04537 South Korea"
813,Grand Ciel Dosan,restaurant,Italian,50,50,40,12,1387,Gangnam-gu,4.5,"650-22, Sinsa-dong, Gangnam-gu, Seoul South Korea"
814,Gatten Sushi Myeongdong,restaurant,Japanese,40,40,40,18,1391,Myeongdong / Namdaemun,4.0,"12, Myeongdong 3-gil, Jung-gu, Seoul 04534 South Korea"
815,Chil Ryang,restaurant,Asian,50,50,40,11,1394,Gangnam-gu,4.5,"68-5, Cheongdam-dong, Gangnam-gu Sinyeong Bldg. B2F, Seoul 135-953 South Korea"
816,Marco Polo,restaurant,European,35,45,30,30,1395,Samseongdong / COEX,4.0,"52F World Trade Tower, 159-1, Samsung-dong, Gangnam-gu, Seoul South Korea"
817,ON River Station,restaurant,Bar,35,40,30,18,1396,Gangnam-gu,4.0,"380-2, Apgujeong-dong, Gangnam-gu, Seoul 135-898 South Korea"
818,Je Ilje Noodle So,restaurant,Asian,40,40,40,27,1397,Yeongdeungpo-gu,3.5,"10, Gukje Geumyung-Ro, Seoul South Korea"
819,Maison de la Categorie,restaurant,French,45,45,35,17,1414,Gangnam-gu,4.0,"826, Seolleung-ro, Gangnam-gu, Seoul 06014 South Korea"
820,Maxim Plant,restaurant,Cafe,35,40,35,13,1418,Hannam-dong,4.0,"250, Itaewon-ro, Yongsan-gu, Seoul 04400 South Korea"
821,Ttungbo Dwaejigalbi Tonggogi,restaurant,Asian,50,45,45,8,1430,Myeongdong / Namdaemun,5.0,"14, Toegye-ro 27-gil, Jung-gu, Seoul 04554 South Korea"
822,Jeonju Okdoljeong,restaurant,Asian,40,40,40,12,1435,Jongno-gu,4.5,"248-5, Jongno 5-ga, Jongno-gu, Seoul South Korea"
823,Bread & co. Anguk,restaurant,Cafe,40,40,40,23,1439,Jongno-gu,4.0,"60, Insadong-gil, Jongno-gu, Seoul 03146 South Korea"
824,La Hacienda,restaurant,Mexican,45,45,40,23,1441,Itaewon,4.0,"10, Bogwang-ro 59-gil, Yongsan-gu, Seoul 04391 South Korea"
825,Hanseong Pork Cutlet,restaurant,Japanese,40,35,35,24,1448,Jamwon-dong,4.0,"8, Gangnam-daero97-Gil, Seoul South Korea"
826,Poop Cafe,restaurant,Cafe,35,35,35,40,1454,Jongno-gu,3.5,"44, Insadong-gil, Jongno-gu 4th floor of Ssamzigil mall, Seoul 03146 South Korea"
827,Red Brick,restaurant,Italian,40,40,40,11,1456,Itaewon,4.5,"72-8, Banpo4-dong, Seocho-gu, Seoul South Korea"
828,Cheongwon,restaurant,Asian,40,40,30,14,1457,Myeongdong / Namdaemun,4.5,"25-6, Myeongdong-gil, Jung-gu, Seoul 04534 South Korea"
829,Jogeum,restaurant,Asian,40,35,35,18,1470,Jongno-gu,4.0,"60, Insadong-gil, Jongno-gu, Seoul 03146 South Korea"
830,Starbucks Mapo Acro,restaurant,Cafe,40,40,30,21,1479,Dohwa-dong,4.0,"68, Mapo-daero, Mapo-gu, Seoul 04168 South Korea"
831,Yoogane Dakgalbi Myeongdong 2nd,restaurant,Asian,45,45,40,17,1500,Myeongdong / Namdaemun,4.0,"8, Myeongdong 4-gil, Jung-gu 2-3f, Seoul 04536 South Korea"
832,Manjung Restaurant,restaurant,Asian,40,50,40,11,1501,Jongno-gu,4.5,"124-2, Samcheong-ro, Jongno-gu, Seoul 03053 South Korea"
833,Nampo Myeon Ok,restaurant,Asian,45,40,35,17,1505,Gangnam-gu,4.0,"89-10, Nonhyeon-dong, Gangnam-gu, Seoul South Korea"
834,Eongteori Saenggogi Yeonheui,restaurant,Asian,45,40,40,11,1507,Seodaemun,4.5,"193-16, Yeonhui-dong, Seodaemun-gu, Seoul South Korea"
835,Doenjang Art and Alcohol,restaurant,Asian,45,40,40,12,1511,Jongno 1.2.3.4 ga-dong,4.5,"20, Samil-daero 15-gil, Jongno-gu, Seoul 03190 South Korea"
