,name,cat,food_cat,food_rank,service_rank,price_rank,review_num,ranking_pos,ad_cat,pri_rate,address
0,Bliss,restaurant,Italian,30,30,30,26,6598,Itaewon,3.5,"119-7, Itaewon 1-dong, Yongsan-gu, Seoul South Korea"
1,Pyeonggaok,restaurant,Asian,45,30,30,19,6827,Yangjae-dong,3.5,"69, Nonhyeon-ro, Seocho-gu Sangho Bldg., Seoul 06775 South Korea"
2,Dongseong Restaurant,restaurant,Chinese,40,35,35,11,6944,Jongno-gu,3.5,"29-2, Saemunan-ro9-Gil, Seoul South Korea"
3,Siti Sarah,restaurant,Asian,40,35,35,16,7345,Itaewon,3.5,"7, Usadan-ro 10-gil, Yongsan-gu, Seoul 04405 South Korea"
4,Foreign Restaurant,restaurant,Asian,30,35,35,22,7395,Itaewon,3.5,"136-45 Itaewon Dong Yongsangu, Seoul South Korea"
5,Pho Bay Apgujeong Main Store,restaurant,Asian,35,35,35,16,7415,Gangnam-gu,3.5,"1F Daemyeong Bldg. 637-15 Sinsa-dong, Gangnam-gu, Seoul South Korea"
6,Ippudo 3,restaurant,Japanese,40,35,30,7,7719,Gangnam / Nonhyeon / Yeoksam,3.5,"19, Teheran-ro 1-gil, Gangnam-gu Lohas Avenue Bldg.1F, Seoul 06134 South Korea"
7,Crow's Nest Itaewon,restaurant,Pizza,40,40,40,9,7837,Itaewon,3.5,"8, Itaewon-ro 27ga-gil, Yongsan-gu, Seoul 04350 South Korea"
8,Pho Bay Myeongdong,restaurant,Asian,30,35,30,11,9136,Myeongdong / Namdaemun,3.5,"199-40, Euljiro 2-ga, Jung-gu 1F, Art Nouveau Centum, Seoul South Korea"
9,Nwijo,restaurant,Asian,35,30,30,21,9138,Jongno-gu,3.5,"84-13 Gwanhun-dong, Jongno-gu Insadong 14-gil, Seoul South Korea"
10,Samrikand,restaurant,European,40,45,35,11,9478,Jung-gu,3.5,"159-10 Mareunnae-ro, Jung-gu, Seoul 04561 South Korea"
11,Suwon Wanggalbi,restaurant,Asian,30,35,25,19,9771,Myeongdong / Namdaemun,3.0,"32-1, Myeong-dong 2-ga, Jung-gu, Seoul South Korea"
12,Mist,restaurant,Japanese,35,35,30,19,9787,Guro-gu,3.0,"360-51, Sindorim-dong, Guro-gu D Cube City 5F, Seoul South Korea"
13,Taipan,restaurant,Chinese,40,40,20,11,10886,Jung-gu,3.5,"50, Sowol-ro, Jung-gu B1F, Millennium Seoul Hilton Hotel, Seoul 04637 South Korea"
14,New Delhi,restaurant,Indian,50,50,50,129,2,Gangnam-gu,5.0,"28, Nonhyeon-ro 176-gil, Gangnam-gu Sinsadong, Seoul 06022 South Korea"
15,Cleo,restaurant,European,50,45,50,266,3,Itaewon,5.0,"1F, Seoul 04392 South Korea"
16,853,restaurant,Barbecue,50,45,45,176,6,Jongno-gu,4.5,"16, Insa-dong 12-gil, Jongno-gu Near By Samjigil, Seoul 03146 South Korea"
17,Gusto Taco,restaurant,Mexican,45,45,45,1278,7,Hongdae,4.5,"41, Wausan-ro, Mapo-gu, Seoul 04049 South Korea"
18,Jihwaja,restaurant,Korean,50,50,45,174,8,Jongno-gu,4.5,"125 Jahamun-ro, Jongno-gu (48 Cheongun-dong, Jongno-gu), Seoul 03031 South Korea"
19,Casablanca Sandwicherie,restaurant,International,45,45,45,194,9,Yongsan-dong,4.5,"33, Sinheung-ro, Yongsan-gu, Seoul 04338 South Korea"
20,Jungsik,restaurant,Asian,45,45,40,473,10,Gangnam-gu,4.5,"11, Seolleung-ro 158-gil, Gangnam-gu, Seoul 06014 South Korea"
21,Jyoti Indian Restaurant,restaurant,Indian,45,45,45,343,12,Nogosan-dong,4.5,"6, Sinchon-ro 20-gil, Mapo-gu 3 Floor, Seoul 04101 South Korea"
22,Hemlagat,restaurant,European,45,50,45,158,13,Jung-gu,4.5,"35, Sogong-ro, Jung-gu 123, Namsan Lotte Castle Iris What3words: ///unions.bounded.defeated, Seoul 04632 South Korea"
23,Mugyodong Bugeokukjib,restaurant,Asian,45,40,45,670,16,Jung-gu,4.5,"38, Eulji-ro 1-gil, Jung-gu, Seoul 04522 South Korea"
24,The Griffin Bar,restaurant,Bar,45,50,40,206,17,Jongno-gu,4.5,"279, Cheonggyecheon-ro, Jongno-gu 11F, JW Marriott Dongdaemun Square Seoul, Seoul 03198 South Korea"
25,choigozip Hongdae,restaurant,Barbecue,45,45,40,192,18,Hongdae,4.5,"25, World Cup buk-ro 2-gil, Mapo-gu, Seoul 121-898 South Korea"
26,Viking's Wharf Lotte World Mall,restaurant,American,45,40,35,217,19,Songpa-gu,4.5,"4F, Lotte World Mall, 300, Olympic-ro, Songpa-gu What3words: ///building.dared.race, Seoul 05551 South Korea"
27,Jonny Dumpling,restaurant,Chinese,45,35,40,280,20,Itaewon,4.5,"5, Bogwang-ro 59-gil, Yongsan-gu Itaewon-dong, Seoul 04391 South Korea"
28,The Park View,restaurant,International,45,45,35,289,21,Jung-gu,4.5,"202 Jangchung-dong, Jung-gu, Seoul 04614 South Korea"
29,Tavolo 24,restaurant,Japanese,45,45,40,318,22,Jongno-gu,4.5,"279, Cheonggyecheon-ro, Jongno-gu, Seoul 03198 South Korea"
30,Jyoti Restaurant Chungmuro,restaurant,Indian,50,45,45,189,23,Jung-gu,4.5,"12-4, Seoae-ro, Jung-gu 2nd Floor, Seoul 04624 South Korea"
31,Gwanghwamun Ichungjib,restaurant,Barbecue,45,45,45,94,24,Jongno-gu,5.0,"95, Sambong-ro, Jongno-gu, Seoul 03150 South Korea"
32,Jamaejip,restaurant,Korean,45,35,40,300,25,Jongno-gu,4.5,"177 Jongno 4-ga, Jongno-gu, Seoul South Korea"
33,Yang Good,restaurant,Barbecue,50,45,45,139,26,Gangnam / Nonhyeon / Yeoksam,4.5,"15, Nonhyeon-ro 95-gil, Gangnam-gu Pyeonghwa Bldg. 1F, Seoul 06131 South Korea"
34,Beansbins Myeongdong,restaurant,Cafe,45,35,35,246,27,Myeongdong / Namdaemun,4.5,"10, Myeongdong 8na-gil, Jung-gu Savoy Hotel 2F, Seoul 04536 South Korea"
35,Jin Ok Hwa Original Chicken Restaurant,restaurant,Asian,45,35,40,590,28,Jongno-gu,4.0,"18, Jong-ro 40ga-gil, Jongno-gu, Seoul 03197 South Korea"
36,Yeonnamseo Sikdang,restaurant,Barbecue,45,35,40,273,29,Nogosan-dong,4.5,"32, Baekbeom-ro 2-gil, Mapo-gu, Seoul 04100 South Korea"
37,Sulbing Myeongdong 1st,restaurant,Cafe,45,35,35,317,30,Myeongdong / Namdaemun,4.0,"22, Myeongdong 4-gil, Jung-gu 2F, Namgyeong Bldg., Seoul 04536 South Korea"
38,Myeongdong Kyoja Main,restaurant,Asian,45,35,40,3365,31,Myeongdong / Namdaemun,4.0,"29-1, Myeongdong 10-gil, Jung-gu Myeongdong Kyoja #1, Seoul 04537 South Korea"
39,Hongdae Dakgalbi,restaurant,Asian,45,45,45,135,32,Hongdae,4.5,"32, Hongik-ro 3-gil, Mapo-gu 1F, Seoul 04039 South Korea"
40,Maple Tree House - Itaewon,restaurant,Barbecue,45,40,40,515,33,Itaewon,4.0,"26, Itaewon-ro 27ga-gil, Yongsan-gu, Seoul 04350 South Korea"
41,Vatos Urban Tacos Itaewon,restaurant,Mexican,45,40,35,857,34,Itaewon,4.0,"181-8, Itaewon-dong, Yongsan-gu, Seoul 140-866 South Korea"
42,Tosokchon Samgyetang,restaurant,Asian,45,35,35,2676,35,Jongno-gu,4.0,"5, Jahamun-ro 5-gil, Jongno-gu, Seoul 03041 South Korea"
43,Linus' Bama Style BBQ,restaurant,American,45,40,35,241,36,Itaewon,4.5,"136-13, Itaewon-ro, Yongsan-gu Down the stairway next to McDonald's Itaewon, and straight back, Seoul 04390 South Korea"
44,Brera,restaurant,Italian,45,45,45,326,37,Jung-gu,4.5,"41, Dasan-ro, Jung-gu, Seoul 04600 South Korea"
45,Haedo Sikdang,restaurant,Korean,40,40,40,148,38,Jung-gu,4.5,"13F Lotte Department Store, 81, Namdaemun-ro, Jung-gu What3words: ///situated.relaxing.smooth, Seoul 04533 South Korea"
46,Brooklyn The Burger Joint,restaurant,American,45,45,40,177,39,Seorae Village,4.5,"51-13, Donggwang-ro 43-gil, Seocho-gu 1f, Seoul 06579 South Korea"
47,La Seine,restaurant,Korean,45,45,35,246,40,Jung-gu,4.5,"30, Eulji-ro, Jung-gu 1F, Lotte Hotel Seoul, Seoul 04533 South Korea"
48,Myeongdong Dakhanmari Main,restaurant,Asian,45,40,45,190,41,Jongno-gu,4.5,"14, Jong-ro 40ga-gil, Jongno-gu, Seoul 03197 South Korea"
49,Mingles,restaurant,Asian,45,45,45,179,42,Gangnam-gu,4.5,"Dosan-daero 67-gil, Cheongdam-dong, Gangnam-gu, Seoul 135-948 South Korea"
50,Buddha's Belly,restaurant,Asian,40,45,40,161,43,Itaewon,4.5,"48, Noksapyeong-daero 40-gil, Yongsan-gu, Seoul 04345 South Korea"
51,Isaac Toast Myeongdong,restaurant,Fast Food,40,40,40,701,44,Myeongdong / Namdaemun,4.0,"105, Toegye-ro, Jung-gu, Seoul 04536 South Korea"
52,Plant,restaurant,Cafe,45,45,40,128,45,Itaewon,4.5,"20, Itaewon-ro 16-gil, Yongsan-gu, Seoul 04391 South Korea"
53,Yukjeon Sikdang - Main Store,restaurant,Asian,45,45,40,100,46,Dongdaemun-gu,4.5,"16, Nangye-ro 30-gil, Dongdaemun-gu, Seoul 02586 South Korea"
54,Brew 3.14,restaurant,Bar,45,45,45,197,47,Jongno 1.2.3.4 ga-dong,4.5,"39, Donhwamun-ro 11na-gil, Jongno-gu 1f, Seoul 03132 South Korea"
55,Odarijip Myeongdong,restaurant,Asian,40,40,35,184,49,Myeongdong / Namdaemun,4.5,"28, Myeongdong 8na-gil, Jung-gu 2F, Seoul 04536 South Korea"
56,BLT Steak,restaurant,American,45,45,35,181,50,Jongno-gu,4.5,"279, Cheonggyecheon-ro, Jongno-gu JW Marriott Dongdaemun Square Seoul, Seoul 110-126 South Korea"
57,Jinmi Sikdang,restaurant,Seafood,45,35,40,208,51,Gongdeok-dong,4.5,"186-6, Mapo-daero, Mapo-gu, Seoul 04207 South Korea"
58,Kyochon Chicken Hongdae Store,restaurant,Asian,45,35,40,221,52,Hongdae,4.0,"362-15, Seogyo-dong, Mapo-gu, Seoul South Korea"
59,Paris Baguette Gangnam Station,restaurant,Cafe,45,40,40,270,53,Gangnam / Nonhyeon / Yeoksam,4.0,"28, Teheran-ro 1-gil, Gangnam-gu, Seoul 06129 South Korea"
60,EID - Halal Korean Food,restaurant,Asian,45,45,45,140,54,Hannam-dong,4.5,"67, Usadan-ro 10-gil, Yongsan-gu, Seoul 04408 South Korea"
61,Wangbijib Myeongdong Main Store,restaurant,Korean,40,40,40,452,56,Myeongdong / Namdaemun,4.0,"63-6 Chungmuro-2ga, Jung-gu 2F, Seoul 04537 South Korea"
62,L'impasse81,restaurant,French,50,50,45,77,57,Sinchon / Ewha,5.0,"17-1, Donggyo-ro 30-gil, Mapo-gu, Seoul 03985 South Korea"
63,Myth Jakbol - Seoul Hongdae Bonjeom,restaurant,Asian,45,40,40,156,58,Hongdae,4.5,"123-1, Eoulmadang-ro, Mapo-gu 1F, Seoul 04050 South Korea"
64,Yeji Sikdang,restaurant,Asian,45,45,45,126,59,Myeongdong / Namdaemun,4.5,"42-2, Myeongdong 1-ga, Jung-gu, Seoul 04534 South Korea"
65,Jin Wonjo Dakhanmari Main Store,restaurant,Asian,45,40,40,144,60,Jongno-gu,4.5,"265-18 Jongno 5-ga, Jongno-gu, Seoul South Korea"
66,Makan Halal Korean Restaurant,restaurant,Asian,45,45,45,111,61,Itaewon,4.5,"52 Usadan-ro 10 gil, Yongsan-gu, Seoul 04407 South Korea"
67,Wonjo WonHalmae Dakhanmari,restaurant,Asian,45,35,45,213,62,Jongno-gu,4.5,"25, Jong-ro 40ga-gil, Jongno-gu, Seoul 03197 South Korea"
68,MoMo Cafe,restaurant,International,45,45,45,141,63,Myeongdong / Namdaemun,4.5,"9 Namdaemun-ro, Jung-gu, Seoul 04526 South Korea"
69,Ryunique,restaurant,Steakhouse,45,45,45,131,64,Sinsa / Garosugil,4.5,"40, Gangnam-daero 162-gil, Gangnam-gu, Seoul 06028 South Korea"
70,Insadong Garlic Bossam,restaurant,Korean,50,50,50,61,65,Jongno-gu,5.0,"12-5, Insadong 8-gil, Jongno-gu Insadong Garlic Bossam, Seoul 03148 South Korea"
71,The Lounge,restaurant,Cafe,45,45,35,104,66,Jongno-gu,4.5,"279, Cheonggyecheon-ro, Jongno-gu 1F, JW Marriott Dongdaemun Square Seoul, Seoul 03198 South Korea"
72,Grand Kitchen,restaurant,International,40,45,35,170,67,Samseongdong / COEX,4.5,"521, Teheranno, Gangnam-gu B1 Grand InterContinental Seoul Parnas, Seoul 06164 South Korea"
73,Cha Masineun Tteul,restaurant,Cafe,40,45,40,78,68,Jongno-gu,4.5,"26, Bukchon-ro 11na-gil, Jongno-gu, Seoul 03052 South Korea"
74,Congee House Myeongdong,restaurant,Asian,45,45,40,217,69,Myeongdong / Namdaemun,4.0,"31, Myeongdong 8ga-gil, Jung-gu, Seoul 04537 South Korea"
75,Manjok Ohyang Jokbal City Hall,restaurant,Korean,45,40,40,158,70,Jung-gu,4.5,"134-10, Seosomun-ro, Jung-gu, Seoul 04514 South Korea"
76,Ahyeondong Ganjang Gejang,restaurant,Seafood,45,45,45,113,71,Ahyeon-dong,4.5,"13, Gullebang-ro, Mapo-gu, Seoul 04117 South Korea"
77,Gurkha Indian Restaurant,restaurant,Indian,40,45,40,157,72,Myeongdong / Namdaemun,4.5,"16-1, Myeongdong 10-gil, Jung-gu 5F, Seoul 04536 South Korea"
78,Paris Baguette Myeongdong Gwangjang,restaurant,Cafe,40,35,40,138,73,Myeongdong / Namdaemun,4.0,"23, Myeongdong 9-gil, Jung-gu, Seoul 04534 South Korea"
79,Chef's Palette,restaurant,Chinese,50,45,40,56,74,Gangnam / Nonhyeon / Yeoksam,5.0,"120, Bongeunsa-ro, Gangnam-gu Lobby Floor, Le Meridien Seoul, Seoul 06124 South Korea"
80,RetroGameBar,restaurant,Bar,45,50,50,51,75,Hongdae,5.0,"7, Jandari-ro, Mapo-gu 3f, Seoul 04049 South Korea"
81,Aria,restaurant,Asian,45,45,35,147,76,Jung-gu,4.5,"106, Sogong-ro, Jung-gu 1F, Seoul Westin Chosun Hotel, Seoul 04533 South Korea"
82,Petra Restaurant,restaurant,International,40,40,35,118,77,Itaewon,4.5,"33, Noksapyeong-daero 40-gil, Yongsan-gu, Seoul 04345 South Korea"
83,Feast,restaurant,International,45,45,35,103,78,Guro-gu,4.5,"41F Sheraton Seoul D Cube City Hotel, 662 Gyeongin-ro, Guro-gu, Seoul 152-887 South Korea"
84,Sulbing Insadong,restaurant,Cafe,45,35,40,170,79,Insadong,4.0,"39, Insa-dong, Jongno-gu, Seoul 110-290 South Korea"
85,Palsaik Samgyupsal Main,restaurant,Asian,45,40,40,170,80,Nogosan-dong,4.0,"18, Baekbeom-ro, Mapo-gu, Seoul 04100 South Korea"
86,Parc,restaurant,Asian,45,45,40,82,81,Hannam-dong,4.5,"26-5, Itaewon-ro 55ga-gil, Yongsan-gu, Seoul 04348 South Korea"
87,Saemaeul Sikdang Nonhyeon Main Store,restaurant,Barbecue,40,35,45,188,82,Gangnam / Nonhyeon / Yeoksam,4.0,"164-12 Nonhyeon-dong, Gangnamgu, Seoul South Korea"
88,W Xyz Bar,restaurant,International,45,50,45,57,84,Myeongdong / Namdaemun,5.0,"56, Namdaemun-ro, Jung-gu 2F, Aloft Seoul Myeongdong, Seoul 04535 South Korea"
89,Cafe Mamas City Hall,restaurant,American,40,40,35,163,86,Jung-gu,4.0,"19, Mugyo-dong, Jung-gu, Seoul 100-180 South Korea"
90,Passion 5,restaurant,Cafe,40,40,35,140,88,Hannam-dong,4.0,"272, Itaewon-ro, Yongsan-gu, Seoul 04399 South Korea"
91,Andong Jjimdak,restaurant,Asian,45,40,40,148,89,Myeongdong / Namdaemun,4.0,"Myeong-dong 2ga, 2-2, Seoul South Korea"
92,Viking's Wharf Yeongdeungpo,restaurant,American,50,50,40,71,90,Yeongdeungpo-gu,4.5,"2F, Big Market Yeongdeungpo, 125, Yeongjung-ro, Yeongdeungpo-gu What3words: ///readers.moons.path, Seoul 07228 South Korea"
93,Shinseon Seolleongtang Hongdae,restaurant,Korean,40,40,40,102,91,Hongdae,4.0,"136, Yanghwa-ro, Mapo-gu, Seoul 04038 South Korea"
94,Cafe de Paris Myeongdong,restaurant,Cafe,35,30,30,173,92,Myeongdong / Namdaemun,4.0,"40, Myeongdong 10-gil, Jung-gu 2-3f, Seoul 04536 South Korea"
95,Jeonju Jungang Restaurant,restaurant,Korean,40,35,35,293,93,Myeongdong / Namdaemun,4.0,"19, Myeongdong 8na-gil, Jung-gu, Seoul 04536 South Korea"
96,Hwangsaengga Kalguksu,restaurant,Asian,45,40,40,101,94,Jongno-gu,4.5,"78, Bukchon-ro 5-gil, Jongno-gu, Seoul 03053 South Korea"
97,Cafe Mamas Cheonggyecheon,restaurant,Cafe,45,40,35,96,95,Jung-gu,4.5,"26, Eulji-ro 5-gil, Jung-gu, Seoul 04539 South Korea"
98,Hamheung myeonok,restaurant,Asian,40,40,40,129,96,Myeongdong / Namdaemun,4.0,"26-1 Myeong-dong 2-ga, Jung-gu, Seoul South Korea"
99,Cote Jardin,restaurant,French,45,40,40,111,97,Itaewon,4.5,"120, Bogwang-ro, Yongsan-gu, Seoul 04406 South Korea"
100,Bukchon Sonmandu Insa,restaurant,Asian,45,40,45,109,98,Jongno-gu,4.5,"42-5, Insadong-gil, Jongno-gu, Seoul 03146 South Korea"
101,Mouse Rabbit Coffee,restaurant,Cafe,45,45,40,105,99,Konkuk University / Children's Grand Park,4.5,"5-14 Hwayang-dong, Gwangjin-gu, Seoul South Korea"
102,Maple Tree House Samcheongdong,restaurant,Barbecue,45,40,40,113,100,Jongno-gu,4.0,"31-1, Samcheong-dong, Jongno-gu, Seoul South Korea"
103,Ipanema Grill,restaurant,Steakhouse,50,50,50,46,101,Seodaemun,5.0,"6 Yonsei-ro 4-gil Seodaemun-gu, Seoul 03779 South Korea"
104,Everest Curry World Restaurant,restaurant,Indian,50,50,50,72,102,Jongno-gu,4.5,"305, Jong-ro, Jongno-gu, 2f, Seoul 03106 South Korea"
105,Wood and Brick,restaurant,Cafe,45,40,40,62,103,Jongno-gu,4.5,"14, Bukchon-ro 5-gil, Jongno-gu 1f, Seoul 03055 South Korea"
106,Choban Sikdang,restaurant,Barbecue,45,50,45,45,104,Myeongdong / Namdaemun,5.0,"8-1, Supyo-ro 6-gil, Jung-gu, Seoul 04554 South Korea"
107,Sunine Bindaetteok,restaurant,Asian,40,35,40,148,105,Jongno-gu,4.0,"138-9 Jongno 5-ga, Seoul South Korea"
108,Krispy Kreme Doughnuts Sogong,restaurant,Cafe,40,35,40,190,106,Jung-gu,4.0,"30, Eulji-ro, Jung-gu Lotte Dept. Store B1, Seoul 04533 South Korea"
109,Lab XXIV (Lab 24),restaurant,French,45,45,40,72,107,Gangnam / Nonhyeon / Yeoksam,4.5,"23, Apgujeong-ro 42-gil, Gangnam-gu, Seoul 06017 South Korea"
110,Yoogane Myeongdong 1st Store,restaurant,Asian,40,35,40,550,108,Myeongdong / Namdaemun,4.0,"13, Myeongdong 10-gil, Jung-gu, Seoul 04537 South Korea"
111,Pierre Gagnaire Seoul,restaurant,French,45,50,35,135,109,Jung-gu,4.5,"81 Namdaemun-ro, Jung-gu 35F, Lotte Hotel Seoul New Wing, Seoul 04533 South Korea"
112,Pro Ganjang Gejang Sinsa,restaurant,Seafood,40,35,30,290,110,Jamwon-dong,4.0,"9, Gangnam-daero 97-gil, Seocho-gu, Seoul 06526 South Korea"
113,Daedo Sikdang - Wangsiblibon,restaurant,Barbecue,45,40,35,113,111,Wangsimni-dong,4.5,"3, Muhak-ro 12-gil, Seongdong-gu, Seoul 04706 South Korea"
114,Gongneung Dak Hanmari,restaurant,Asian,45,40,40,83,112,Jongno-gu,4.5,"20, Jong-ro 40ga-gil, Jongno-gu, Seoul 03197 South Korea"
115,Pizzeria d' Buzza,restaurant,Italian,45,40,35,147,113,Hannam-dong,4.0,"28, Itaewon-ro 55ga-gil, Yongsan-gu, Seoul 04348 South Korea"
116,Brew 3.15,restaurant,Bar,45,45,45,66,116,Jongno 1.2.3.4 ga-dong,4.5,"40, Samil-daero 32ga-gil, Jongno-gu, Seoul 110-340 South Korea"
117,Gogung Myeongdong Store,restaurant,Asian,40,40,35,261,117,Myeongdong / Namdaemun,4.0,"12-14, Chungmuro 2-ga, Jung-gu, Seoul 100-012 South Korea"
118,Nekkid Wings,restaurant,American,45,50,45,53,118,Itaewon,5.0,"174-11, Noksapyeong-daero, Yongsan-gu, Seoul 04390 South Korea"
119,EL Pino 323,restaurant,Mexican,45,40,40,85,119,Itaewon,4.5,"220, Noksapyeong-daero, Yongsan-gu 2f, Seoul 04345 South Korea"
120,Gamekol Son Wangmandu,restaurant,Asian,40,35,45,96,120,Myeongdong / Namdaemun,4.0,"60-2 Namchang-dong, Jung-gu, Seoul South Korea"
121,Spacca Napoli,restaurant,Italian,45,45,45,79,121,Hongdae,4.5,"28, Yanghwa-ro 6-gil, Mapo-gu, Seoul 04046 South Korea"
122,Boccalino,restaurant,Italian,45,45,40,82,122,Jongno-gu,4.5,"97 Saemunan-ro, Jongno-gu Four Seasons Hotel 2F, Seoul 03183 South Korea"
123,Momoyama,restaurant,Japanese,45,50,35,108,123,Jung-gu,4.5,"30, Eulji-Ro, Jung-Gu 38F, Lotte Hotel Seoul, Seoul 04533 South Korea"
124,Osegyehyang,restaurant,Korean,45,40,45,113,124,Jongno-gu,4.5,"14-5, Insadong 12-gil, Jongno-gu, Seoul 03146 South Korea"
125,Park Cafe,restaurant,American,50,50,45,82,125,Yeongdeungpo-gu,4.5,"8, Yeoui-daero, Yeongdeungpo-gu Marriott Executive Apt. Yeouido Park Center, Seoul 07320 South Korea"
126,Cafe Coin 1,restaurant,Cafe,40,45,40,69,126,Myeongdong / Namdaemun,4.5,"2~3F, 54-20, Myeong-dong 2-ga, Jung-gu, Seoul 55222 South Korea"
127,N Grill,restaurant,French,40,40,35,155,127,Jung-gu,4.0,"1-3, Yongsan-dong2-ga 5F, Jeonmang-zone, N Seoul Tower, Seoul 04340 South Korea"
128,Myeongdong Kyoja Main,restaurant,Asian,40,35,40,151,128,Myeongdong / Namdaemun,4.0,"8-1, Myeongdong 10-gil, Jung-gu Myeongdong Kyoja #2, Seoul 04536 South Korea"
129,Mukshidonna Samcheongdong,restaurant,Korean,40,35,45,131,129,Jongno-gu,4.0,"74-7, Yulgok-ro 3-gil, Jongno-gu, Seoul 03061 South Korea"
130,Meal top,restaurant,Cafe,45,40,35,89,130,Gangnam-gu,4.5,"165, Apgujeong-ro, Gangnam-gu Hyundai Department Store 5F, Seoul 06001 South Korea"
131,Kitchen 485,restaurant,Italian,45,45,40,45,131,Hongdae,4.5,"67, Yanghwa-ro6-Gil, Seoul South Korea"
132,Cafe Gondry,restaurant,Bar,45,45,45,58,132,Jongno-gu,4.5,"4, Gyedong 2-gil, Jongno-gu, Seoul South Korea"
133,Jalppajin Memil seochon,restaurant,Asian,50,50,50,48,133,Jongno-gu,4.5,"41-1, Jahamun-ro, Jongno-gu, Seoul 03036 South Korea"
134,Gobong Samgyetang,restaurant,Asian,40,40,35,128,134,Myeongdong / Namdaemun,4.0,"21, Myeongdong 7-gil, Jung-gu, Seoul 04534 South Korea"
135,Neutinamu Seolleongtang,restaurant,Asian,45,30,35,90,135,Jung-gu,4.0,"251-131 Sindang-dong, Jung-gu, Seoul South Korea"
136,Toh Lim,restaurant,Chinese,45,45,40,71,136,Jung-gu,4.5,"30, Eulji-ro, Jung-gu 37F, Main Wing, Lotte Hotel Seoul, Seoul 04533 South Korea"
137,Butter Finger Pancake Gangnam,restaurant,American,45,40,35,96,137,Gangnam / Nonhyeon / Yeoksam,4.0,"1317, Seocho-dong, Seocho-gu, Seoul South Korea"
138,The Margaux Grill,restaurant,Steakhouse,40,40,35,44,138,Banpo-dong,4.5,"176 Sinbanpo-ro, Seocho-gu Seocho-gu, Seoul 06546 South Korea"
139,Gyodae Galbijib - City Hall,restaurant,Korean,50,50,50,31,140,Myeongdong / Namdaemun,5.0,"31, Namdaemun-ro 1-gil, Jung-gu 2F, Seoul 04526 South Korea"
140,Mies Container West,restaurant,Italian,40,45,40,89,141,Gangnam / Nonhyeon / Yeoksam,4.0,"9, Seocho-daero 73-gil, Seocho-gu Time Bldg., Seoul South Korea"
141,Mugunghwa,restaurant,Asian,45,45,35,85,142,Jung-gu,4.5,"1, Sogong-dong, Jung-gu Main Wing 38F, Lotte Hotel Seoul, Seoul South Korea"
142,La Seine,restaurant,Asian,45,45,35,98,143,Songpa-gu,4.5,"240, Olympic-ro, Songpa-gu Lotte Hotel World 2F, Seoul 411-7811 South Korea"
143,Eulmildae,restaurant,Asian,45,35,35,78,145,Mapo-gu,4.5,"147-6, Yeomni-dong, Mapo-gu, Seoul South Korea"
144,Onion,restaurant,Cafe,40,40,35,71,146,Seongdong-gu,4.0,"8, Achasan-ro 9-gil, Seongdong-gu, Seoul 04797 South Korea"
145,Soigne Restaurant,restaurant,French,45,45,40,74,147,Seorae Village,4.5,"46 Banpo-daero 39-gil, Seocho-gu B1, Seoul 137807 South Korea"
146,Southside Parlor,restaurant,Bar,45,45,45,83,148,Itaewon,4.5,"218, Noksapyeong-daero, Yongsan-gu, Seoul 04345 South Korea"
147,Yangmiok,restaurant,Barbecue,45,40,35,91,149,Jung-gu,4.5,"161 Euljiro 3-ga, Jung-gu, Seoul South Korea"
148,Jeontong Dawon,restaurant,Cafe,40,35,35,93,152,Jongno-gu,4.0,"11-4, Insadong 10-gil, Jongno-gu Kyung-In Museum of Fine Art, Seoul South Korea"
149,James Cheese Back Ribs Hongdae Station Exit 8,restaurant,Barbecue,40,35,35,116,153,Hongdae,4.0,"145-1, Eoulmadang-ro, Mapo-gu, Seoul 04051 South Korea"
150,HanCook N Seoul Tower,restaurant,Korean,40,40,35,103,155,Jung-gu,4.0,"126, Namsangongwon-gil, Yongsan-gu, Seoul 04340 South Korea"
151,Limburg Waffle,restaurant,European,40,40,35,54,156,Jung-gu,4.5,"5, Deoksugung-gil, Jung-gu, Seoul 04515 South Korea"
152,Sulbing Myeongdong 2nd,restaurant,Cafe,45,35,40,52,157,Myeongdong / Namdaemun,4.5,"20, Myeongdong 10-gil, Jung-gu, Seoul 04536 South Korea"
153,Onedang Gamjatang Myeongdong 2,restaurant,Korean,40,35,40,86,158,Myeongdong / Namdaemun,4.0,"35, Myeongdong 8na-gil, Jung-gu, Seoul 04535 South Korea"
154,Seoul Samgyetang,restaurant,Korean,45,35,40,74,159,Myeongdong / Namdaemun,4.5,"18-4, Namdaemunsijang-gil, Jung-gu, Seoul 04528 South Korea"
155,Teppan,restaurant,International,50,50,45,43,160,Hannam-dong,5.0,"322 Sowol-ro, Yongsan-gu Grand Hyatt Seoul, Seoul 04347 South Korea"
156,Woo Lae Oak Jugyo,restaurant,Asian,45,40,35,113,162,Jung-gu,4.0,"118-1, Jugyo-dong, Jung-gu, Seoul South Korea"
157,The King's,restaurant,International,45,40,40,99,163,Jung-gu,4.5,"287, Dongho-ro, Jung-gu Lobby, Grand Ambassador Seoul associated with Pullman, Seoul 04600 South Korea"
158,Gaeseong Mandu Koong,restaurant,Korean,40,40,40,110,164,Jongno-gu,4.0,"11-3, Insadong 10-gil, Jongno-gu, Seoul 03146 South Korea"
